year,month,tourist_arrivals,tourism_revenue_usd,avg_stay,avg_daily_spend,hotel_occupancy_rate,exchange_rate_lkr_usd,tourism_employment
2010,1,50757.00,44916899.58,9.80,90.30,73.6,114.3,4267
2010,2,57300.00,51140250.00,10.20,87.50,72.9,114.1,4817
2010,3,52352.00,46900586.24,10.10,88.70,72.2,113.8,4401
2010,4,38300.00,34281181.00,10.30,86.90,66.6,113.5,3220
2010,5,35213.00,30433539.51,9.70,89.10,59.6,113.2,2960
2010,6,44730.00,39183480.00,10.00,87.60,64.5,113.0,3761
2010,7,63339.00,57434538.42,10.20,88.90,72.2,112.8,5325
2010,8,55898.00,49473083.88,9.90,89.40,72.9,112.6,4699
2010,9,47339.00,41644591.69,10.10,87.10,63.1,112.4,3980
2010,10,52370.00,45266533.20,9.80,88.20,65.9,112.2,4403
2010,11,72251.00,63894449.34,10.20,86.70,71.5,112.0,6074
2010,12,84627.00,75825792.00,10.00,89.60,78.5,111.8,7115
2011,1,74197.00,74339458.24,10.10,99.20,81.0,110.6,5009
2011,2,65797.00,63249998.13,9.90,97.10,80.2,110.4,4442
2011,3,75130.00,75329845.80,10.20,98.30,79.4,110.2,5072
2011,4,63835.00,63646048.40,10.30,96.80,73.2,110.1,4309
2011,5,48943.00,46956893.06,9.80,97.90,65.5,110.0,3304
2011,6,53636.00,53367820.00,10.00,99.50,70.9,109.9,3621
2011,7,83786.00,83523749.82,10.10,98.70,79.4,109.8,5656
2011,8,72463.00,71916628.98,10.20,97.30,80.2,109.7,4892
2011,9,60219.00,58484090.61,9.90,98.10,69.4,109.6,4065
2011,10,69563.00,68080612.47,10.10,96.90,72.5,109.5,4696
2011,11,90889.00,92335952.88,10.20,99.60,78.6,109.4,6136
2011,12,97517.00,95079075.00,10.00,97.50,86.4,109.3,6583
2012,1,85874.00,90809178.78,10.10,104.70,74.8,127.8,5795
2012,2,83549.00,86327839.74,10.20,101.30,74.0,127.7,5638
2012,3,91102.00,94815317.52,9.80,106.20,73.3,127.5,6148
2012,4,69591.00,71539548.00,10.00,102.80,67.6,127.4,4696
2012,5,57506.00,61896583.10,10.30,104.50,60.5,127.2,3881
2012,6,65245.00,66659511.60,9.90,103.20,65.5,126.9,4403
2012,7,90338.00,93619076.16,10.20,101.60,73.3,126.7,6096
2012,8,79456.00,81234225.28,9.70,105.40,74.0,126.5,5362
2012,9,71111.00,73330374.31,10.10,102.10,64.1,126.3,4799
2012,10,80379.00,83353023.00,10.00,103.70,66.9,126.1,5424
2012,11,109202.00,117089660.46,10.30,104.10,72.6,125.9,7369
2012,12,122252.00,124176246.48,9.90,102.60,79.7,125.6,8250
2013,1,110543.00,154645235.28,8.70,160.80,75.3,129.4,9761
2013,2,113968.00,151135244.16,8.60,154.20,74.6,129.3,10064
2013,3,113208.00,157802895.36,8.80,158.40,73.9,129.1,9997
2013,4,80737.00,107812152.95,8.50,157.10,68.1,128.9,7129
2013,5,74838.00,100788824.88,8.70,154.80,60.9,128.7,6608
2013,6,90279.00,123602784.48,8.60,159.20,66.0,128.5,7972
2013,7,107016.00,146911564.80,8.80,156.00,73.9,128.3,9450
2013,8,123269.00,165048562.17,8.70,153.90,74.6,128.1,10885
2013,9,90339.00,123218782.44,8.60,158.60,64.5,127.9,7977
2013,10,107058.00,140775917.10,8.50,154.70,67.4,127.7,9454
2013,11,109420.00,153769020.20,8.90,157.90,73.1,127.5,9662
2013,12,153918.00,208227966.30,8.70,155.50,80.3,127.3,13591
2014,1,146575.00,249500844.45,9.90,171.94,78.0,130.8,12457
2014,2,141878.00,225717966.54,9.90,160.70,77.3,130.6,12058
2014,3,133048.00,212275955.23,9.90,161.16,76.5,130.4,11308
2014,4,112631.00,180303083.73,9.90,161.70,70.6,130.2,9572
2014,5,90046.00,143390601.09,9.90,160.85,63.2,130.0,7653
2014,6,103175.00,161090119.58,9.90,157.71,68.4,129.8,8769
2014,7,133971.00,209769648.26,9.90,158.16,76.5,129.6,11386
2014,8,140319.00,226238288.17,9.90,162.86,77.3,129.4,11925
2014,9,105535.00,165662933.04,9.90,158.56,66.9,129.2,8969
2014,10,121576.00,190518223.90,9.90,158.29,69.8,129.0,10333
2014,11,119727.00,190524688.00,9.90,160.74,75.8,128.8,10175
2014,12,178672.00,282521169.22,9.90,159.72,83.2,128.6,15185
2015,1,156246.00,289499619.87,10.10,183.45,78.2,135.2,11810
2015,2,165541.00,313041838.44,10.10,187.23,77.5,135.6,12512
2015,3,157051.00,299461548.73,10.10,188.79,76.7,135.9,11871
2015,4,122217.00,213796642.44,10.10,173.20,70.8,136.1,9238
2015,5,113529.00,189608869.94,10.10,165.36,63.3,136.4,8581
2015,6,115467.00,215785076.00,10.10,185.03,68.5,136.2,8728
2015,7,175804.00,332697994.35,10.10,187.37,76.7,135.8,13288
2015,8,166610.00,313380581.03,10.10,186.23,77.5,135.7,12593
2015,9,143374.00,270341569.81,10.10,186.69,67.0,135.4,10837
2015,10,132280.00,253524673.28,10.10,189.76,70.0,135.0,9998
2015,11,144147.00,247063633.59,10.10,169.70,76.0,135.3,10895
2015,12,206114.00,381293586.42,10.10,183.16,83.4,135.9,15579
2016,1,194280.00,339081158.16,10.20,171.11,78.5,145.1,13842
2016,2,197697.00,346738791.33,10.20,171.95,77.8,145.4,14085
2016,3,192841.00,340641284.68,10.20,173.18,77.0,145.8,13739
2016,4,136367.00,242107608.20,10.20,174.06,71.1,146.0,9716
2016,5,125044.00,219938391.07,10.20,172.44,63.6,145.6,8909
2016,6,118038.00,208578811.82,10.20,173.24,68.8,145.2,8410
2016,7,209351.00,367178625.39,10.20,171.95,77.0,145.0,14916
2016,8,186288.00,327165691.97,10.20,172.18,77.8,145.3,13272
2016,9,148499.00,259905622.78,10.20,171.59,67.3,145.7,10580
2016,10,150419.00,263680295.27,10.20,171.86,70.3,145.9,10717
2016,11,167217.00,292410361.30,10.20,171.44,76.3,146.2,11914
2016,12,224791.00,393295682.35,10.20,171.53,83.8,146.5,16016
2017,1,219360.00,356573409.12,10.90,149.13,77.0,151.9,16207
2017,2,197517.00,287868978.96,10.90,133.71,76.2,152.1,14593
2017,3,188076.00,272120769.82,10.90,132.74,75.5,152.4,13896
2017,4,160249.00,232470179.57,10.90,133.09,69.6,152.6,11840
2017,5,121891.00,176320085.25,10.90,132.71,62.3,152.8,9006
2017,6,123351.00,179763112.83,10.90,133.70,67.4,153.0,9114
2017,7,205482.00,297148136.65,10.90,132.67,75.5,152.7,15182
2017,8,190928.00,276101553.58,10.90,132.67,76.2,152.5,14107
2017,9,145077.00,208910734.92,10.90,132.11,66.0,152.2,10719
2017,10,152429.00,221159083.67,10.90,133.11,68.9,151.8,11262
2017,11,167511.00,242165124.84,10.90,132.63,74.8,152.0,12376
2017,12,244536.00,354263949.38,10.90,132.91,82.1,152.3,18067
2018,1,238924.00,335655726.34,10.80,130.08,76.4,161.8,17302
2018,2,235618.00,322384799.74,10.80,126.69,75.7,162.0,17062
2018,3,233382.00,309444927.91,10.80,122.77,75.0,162.2,16900
2018,4,180429.00,235940507.86,10.80,121.08,69.2,162.6,13066
2018,5,129466.00,171171659.38,10.80,122.42,61.9,162.9,9375
2018,6,146828.00,202182156.00,10.80,127.50,67.0,162.4,10633
2018,7,217829.00,294327930.85,10.80,125.11,75.0,162.1,15774
2018,8,200359.00,269316156.31,10.80,124.46,75.7,161.9,14509
2018,9,149087.00,200913219.29,10.80,124.78,65.5,161.6,10796
2018,10,153123.00,205971872.22,10.80,124.55,68.4,161.4,11088
2018,11,195582.00,257044034.66,10.80,121.69,74.3,161.7,14163
2018,12,253169.00,342707786.57,10.80,125.34,81.5,162.0,18333
2019,1,244239.00,297393222.05,10.40,117.08,59.9,178.2,22155
2019,2,252033.00,306516485.81,10.40,116.94,59.4,178.5,22862
2019,3,244328.00,296332726.14,10.40,116.62,58.8,178.7,22163
2019,4,166975.00,202845237.40,10.40,116.81,54.2,179.0,15146
2019,5,37802.00,45973885.15,10.40,116.94,48.5,179.3,3429
2019,6,63072.00,76608260.35,10.40,116.79,52.5,179.1,5721
2019,7,115701.00,141049700.69,10.40,117.22,58.8,178.9,10495
2019,8,143587.00,174851059.03,10.40,117.09,59.4,178.6,13025
2019,9,108575.00,131470427.40,10.40,116.43,51.4,178.3,9849
2019,10,118743.00,144190099.87,10.40,116.76,53.7,178.0,10771
2019,11,176984.00,214986004.48,10.40,116.80,58.2,178.4,16054
2019,12,241663.00,296895561.98,10.40,118.13,63.9,178.8,21921
2020,1,228434.00,381620450.28,8.50,198.82,65.2,181.4,20755
2020,2,207507.00,346796200.71,8.50,201.65,64.5,181.9,18844
2020,3,71370.00,118268915.50,8.50,201.32,32.0,182.5,6480
2020,4,0.00,0.00,0.00,0.00,2.1,185.2,0
2020,5,0.00,0.00,0.00,0.00,1.8,186.7,0
2020,6,0.00,0.00,0.00,0.00,2.0,187.1,0
2020,7,0.00,0.00,0.00,0.00,3.2,186.8,0
2020,8,0.00,0.00,0.00,0.00,3.8,186.2,0
2020,9,0.00,0.00,0.00,0.00,4.5,185.9,0
2020,10,0.00,0.00,0.00,0.00,5.0,186.4,0
2020,11,0.00,0.00,0.00,0.00,6.8,186.7,0
2020,12,0.00,0.00,0.00,0.00,7.4,186.9,0
2021,1,1682.00,2901070.34,15.10,34.33,8.5,193.2,162
2021,2,3366.00,5816735.48,15.10,34.29,9.2,194.0,324
2021,3,4581.00,7910184.23,15.10,34.26,11.1,195.5,442
2021,4,4168.00,7205564.96,15.10,34.32,10.5,197.2,402
2021,5,1497.00,2587562.55,15.10,34.32,8.8,198.8,144
2021,6,1614.00,2781083.45,15.10,34.35,9.1,200.4,155
2021,7,2429.00,4185169.62,15.10,34.27,10.2,201.7,233
2021,8,5040.00,8666308.15,15.10,34.19,12.0,202.9,484
2021,9,13547.00,23295534.62,15.10,34.02,15.6,203.8,1300
2021,10,22771.00,39199144.56,15.10,34.00,18.7,204.6,2185
2021,11,44294.00,76498023.41,15.10,34.15,23.8,205.5,4253
2021,12,89506.00,154603487.91,15.10,34.48,29.5,206.1,8596
2022,1,82327.00,134288251.19,9.00,54.69,32.4,201.5,7601
2022,2,96507.00,158654451.26,9.00,55.70,33.7,202.9,8921
2022,3,106500.00,175780042.53,9.00,55.82,35.2,204.6,9852
2022,4,62980.00,103825019.41,9.00,55.81,28.4,230.5,5819
2022,5,30207.00,49836634.71,9.00,55.72,22.5,290.4,2790
2022,6,32856.00,54302671.29,9.00,55.64,24.8,344.7,3035
2022,7,47293.00,78175362.37,9.00,55.96,31.5,359.3,4368
2022,8,37760.00,62419446.15,9.00,55.94,29.7,362.5,3489
2022,9,29802.00,49246377.54,9.00,55.95,26.4,368.4,2755
2022,10,42026.00,69451109.53,9.00,55.76,28.5,370.9,3885
2022,11,59759.00,98723048.18,9.00,55.95,34.2,362.7,5523
2022,12,91961.00,152286237.67,9.00,55.99,42.1,363.2,8491
2023,1,102545.00,160846072.51,8.44,42.24,45.2,364.5,9471
2023,2,107639.00,172290155.81,8.44,42.59,47.4,365.2,9939
2023,3,125495.00,207368666.94,8.44,42.45,50.7,362.8,11585
2023,4,105498.00,170747116.20,8.44,42.49,42.5,327.5,9742
2023,5,83309.00,137051246.75,8.44,42.13,37.0,312.9,7689
2023,6,100388.00,163230308.36,8.44,42.55,41.6,315.4,9262
2023,7,143039.00,231871841.08,8.44,41.66,52.7,323.7,13190
2023,8,136405.00,217107463.02,8.44,42.32,51.8,322.5,12575
2023,9,111938.00,181892279.62,8.44,42.42,45.9,322.1,10325
2023,10,109199.00,176329097.85,8.44,42.58,44.7,322.8,10082
2023,11,151496.00,246186573.88,8.44,42.46,56.8,324.5,13998
2023,12,210352.00,341669621.29,8.44,42.48,63.2,325.8,19434
2024,1,208253.00,333996765.45,8.60,51.50,64.7,324.8,19092
2024,2,218350.00,349566198.40,8.60,51.00,66.0,323.5,19956
2024,3,209181.00,334208381.45,8.60,50.50,63.5,321.2,19134
2024,4,148867.00,237780684.73,8.60,49.00,55.7,318.6,13612
2024,5,112128.00,174804672.00,8.60,45.00,48.2,317.1,10253
2024,6,113470.00,176486290.00,8.60,45.50,49.0,316.8,10379
2024,7,187810.00,291702965.00,8.60,49.50,62.8,317.9,17172
2024,8,164609.00,255689084.97,8.60,50.00,59.1,318.2,15058
2024,9,122140.00,187197416.00,8.60,45.50,51.3,319.4,11167
2024,10,135907.00,211329858.42,8.60,48.00,54.7,320.5,12424
2024,11,184158.00,286911024.38,8.60,47.50,61.9,321.7,16824
2024,12,248592.00,387414514.94,8.60,52.00,69.4,323.1,22723
